date,prophet_units,sku,neural_units,ensemble_units
2024-06-23,14.405012755449231,SKU_140,72.82667,43.615841377724614
2024-06-30,14.272222088705814,SKU_140,72.446686,43.35945404435291
2024-07-07,14.139431421962394,SKU_140,72.06668,43.1030557109812
2024-07-14,14.006640755218976,SKU_140,71.69561,42.85112537760949
2024-07-21,13.873850088475557,SKU_140,71.315605,42.594727544237784
2024-07-28,13.74105942173214,SKU_140,70.93557,42.33831471086607
2024-08-04,13.60826875498872,SKU_140,70.56453,42.08639937749436
2024-08-11,13.475478088245302,SKU_140,70.19344,41.834459044122646
2024-08-18,13.342687421501884,SKU_140,69.813446,41.57806671075094
2024-08-25,13.209896754758462,SKU_140,69.43341,41.32165337737923
2024-09-01,13.077106088015046,SKU_140,69.06237,41.06973804400752
2024-06-23,20.825411582377093,SKU_141,18.308695,19.567053291188547
2024-06-30,20.88432274227635,SKU_141,18.035938,19.460130371138177
2024-07-07,20.943233902175603,SKU_141,17.763124,19.353178951087802
2024-07-14,21.00214506207486,SKU_141,17.615648,19.30889653103743
2024-07-21,21.06105622197411,SKU_141,17.34284,19.201948110987054
2024-07-28,21.11996738187337,SKU_141,17.069983,19.094975190936687
2024-08-04,21.17887854177262,SKU_141,16.922558,19.050718270886307
2024-08-11,21.237789701671872,SKU_141,16.775074,19.006431850835938
2024-08-18,21.296700861571125,SKU_141,16.502277,18.899488930785562
2024-08-25,21.35561202147038,SKU_141,16.229424,18.792518010735193
2024-09-01,21.414523181369635,SKU_141,16.08199,18.748256590684818
2024-09-08,21.473434341268888,SKU_141,15.934505,18.703969670634443
2024-06-23,17.885799304051744,SKU_142,-35.292984,-8.703592347974126
2024-06-30,17.908802006713245,SKU_142,-35.324066,-8.707631996643379
2024-07-07,17.93180470937475,SKU_142,-35.35513,-8.711662645312627
2024-07-14,17.95480741203625,SKU_142,-35.304516,-8.674854293981875
2024-07-21,17.977810114697753,SKU_142,-35.335583,-8.678886442651123
2024-07-28,18.000812817359254,SKU_142,-35.366642,-8.682914591320372
2024-08-04,18.02381552002076,SKU_142,-35.316036,-8.646110239989618
2024-08-11,18.046818222682266,SKU_142,-35.26542,-8.609300888658867
2024-08-18,18.06982092534377,SKU_142,-35.29649,-8.613334537328114
2024-08-25,18.09282362800527,SKU_142,-35.327545,-8.617360685997365
2024-09-01,18.11582633066677,SKU_142,-35.276943,-8.580558334666616
2024-09-08,18.138829033328275,SKU_142,-35.22633,-8.543750483335861
2024-06-23,20.273038315425246,SKU_143,-93.745964,-36.73646284228738
2024-06-30,20.25322716336032,SKU_143,-94.08303,-36.914901418319836
2024-07-07,20.233416011295397,SKU_143,-94.42001,-37.0932969943523
2024-07-14,20.21360485923047,SKU_143,-94.712494,-37.24944457038477
2024-07-21,20.193793707165543,SKU_143,-95.049484,-37.42784514641723
2024-07-28,20.17398255510062,SKU_143,-95.38639,-37.60620372244969
2024-08-04,20.154171403035697,SKU_143,-95.678955,-37.762391798482156
2024-08-11,20.134360250970765,SKU_143,-95.97143,-37.91853487451462
2024-08-18,20.11454909890584,SKU_143,-96.30842,-38.09693545054708
2024-08-25,20.094737946840915,SKU_143,-96.64534,-38.27530102657954
2024-09-01,20.07492679477599,SKU_143,-96.9379,-38.431486602612004
2024-09-08,20.055115642711066,SKU_143,-97.230354,-38.58761917864447
2024-06-30,13.736142133979316,SKU_144,31.508701,22.622421566989658
2024-07-07,13.67857313415496,SKU_144,31.14182,22.410196567077477
2024-07-14,13.621004134330605,SKU_144,30.740856,22.180930067165303
2024-07-21,13.563435134506246,SKU_144,30.373981,21.968708067253125
2024-07-28,13.505866134681888,SKU_144,30.0071,21.756483067340945
2024-08-04,13.448297134857532,SKU_144,29.606136,21.527216567428766
2024-08-11,13.390728135033177,SKU_144,29.205168,21.29794806751659
2024-08-18,13.333159135208822,SKU_144,28.838297,21.08572806760441
2024-08-25,13.275590135384464,SKU_144,28.471418,20.87350406769223
2024-09-01,13.21802113556011,SKU_144,28.070448,20.644234567780053
2024-09-08,13.160452135735753,SKU_144,27.669481,20.41496656786788
2024-09-15,13.102883135911398,SKU_144,27.302608,20.2027455679557
2024-06-09,17.117929795514573,SKU_145,85.46839,51.293159897757285
2024-06-16,17.171567536695214,SKU_145,85.6827,51.4271337683476
2024-06-23,17.22520527787585,SKU_145,85.729034,51.47711963893792
2024-06-30,17.278843019056488,SKU_145,85.94347,51.61115650952824
2024-07-07,17.33248076023713,SKU_145,86.157845,51.74516288011856
2024-07-14,17.386118501417766,SKU_145,86.28819,51.837154250708885
2024-07-21,17.439756242598406,SKU_145,86.50256,51.971158121299204
2024-07-28,17.493393983779043,SKU_145,86.71688,52.10513699188952
