date,forecast_units,sku
2024-08-04,-11.952987,SKU_113
2024-08-11,-12.030617,SKU_113
2024-08-18,-12.218443,SKU_113
2024-08-25,-12.406227,SKU_113
2024-09-01,-12.483891,SKU_113
2024-09-08,-12.561516,SKU_113
2024-09-15,-12.749344,SKU_113
2024-06-30,43.8014,SKU_114
2024-07-07,43.696712,SKU_114
2024-07-14,43.58257,SKU_114
2024-07-21,43.47789,SKU_114
2024-07-28,43.373177,SKU_114
2024-08-04,43.25906,SKU_114
2024-08-11,43.144913,SKU_114
2024-08-18,43.04023,SKU_114
2024-08-25,42.935524,SKU_114
2024-09-01,42.821407,SKU_114
2024-09-08,42.707256,SKU_114
2024-09-15,42.60258,SKU_114
2024-06-23,57.1576,SKU_115
2024-06-30,57.09511,SKU_115
2024-07-07,57.032597,SKU_115
2024-07-14,56.89082,SKU_115
2024-07-21,56.828312,SKU_115
2024-07-28,56.76578,SKU_115
2024-08-04,56.624023,SKU_115
2024-08-11,56.482246,SKU_115
2024-08-18,56.41974,SKU_115
2024-08-25,56.357212,SKU_115
2024-09-01,56.215454,SKU_115
2024-09-08,56.073673,SKU_115
2024-06-23,-15.120653,SKU_116
2024-06-30,-15.071394,SKU_116
2024-07-07,-15.022133,SKU_116
2024-07-14,-14.922015,SKU_116
2024-07-21,-14.872754,SKU_116
2024-07-28,-14.823486,SKU_116
2024-08-04,-14.723375,SKU_116
2024-08-11,-14.623258,SKU_116
2024-08-18,-14.573996,SKU_116
2024-08-25,-14.524729,SKU_116
2024-09-01,-14.424619,SKU_116
2024-09-08,-14.324501,SKU_116
2024-06-23,-27.16335,SKU_117
2024-06-30,-27.153318,SKU_117
2024-07-07,-27.143274,SKU_117
2024-07-14,-27.084469,SKU_117
2024-07-21,-27.074425,SKU_117
2024-07-28,-27.06437,SKU_117
2024-08-04,-27.005575,SKU_117
2024-08-11,-26.946768,SKU_117
2024-08-18,-26.936724,SKU_117
2024-08-25,-26.926674,SKU_117
2024-09-01,-26.867874,SKU_117
2024-09-08,-26.809069,SKU_117
2024-06-16,54.497803,SKU_118
2024-06-23,54.809498,SKU_118
2024-06-30,54.876186,SKU_118
2024-07-07,54.94278,SKU_118
2024-07-14,55.131912,SKU_118
2024-07-21,55.198513,SKU_118
2024-07-28,55.265007,SKU_118
2024-08-04,55.454243,SKU_118
2024-08-11,55.64336,SKU_118
2024-08-18,55.70997,SKU_118
2024-08-25,55.77648,SKU_118
2024-09-01,55.965702,SKU_118
2024-06-23,30.567692,SKU_119
2024-06-30,30.277952,SKU_119
2024-07-07,29.988234,SKU_119
2024-07-14,29.680767,SKU_119
2024-07-21,29.391047,SKU_119
2024-07-28,29.101347,SKU_119
2024-08-04,28.79386,SKU_119
2024-08-11,28.486391,SKU_119
2024-08-18,28.196669,SKU_119
2024-08-25,27.906965,SKU_119
2024-09-01,27.599482,SKU_119
2024-09-08,27.292019,SKU_119
2024-06-23,61.12852,SKU_120
2024-06-30,61.331825,SKU_120
2024-07-07,61.535027,SKU_120
2024-07-14,61.742943,SKU_120
2024-07-21,61.946148,SKU_120
2024-07-28,62.14926,SKU_120
2024-08-04,62.35728,SKU_120
2024-08-11,62.56518,SKU_120
2024-08-18,62.768406,SKU_120
2024-08-25,62.971527,SKU_120
2024-09-01,63.17953,SKU_120
2024-09-08,63.38743,SKU_120
2024-06-23,-18.194918,SKU_121
2024-06-30,-18.339048,SKU_121
2024-07-07,-18.483187,SKU_121
2024-07-14,-18.576004,SKU_121
2024-07-21,-18.72014,SKU_121
2024-07-28,-18.864285,SKU_121
2024-08-04,-18.957092,SKU_121
2024-08-11,-19.049911,SKU_121
2024-08-18,-19.19405,SKU_121
2024-08-25,-19.338192,SKU_121
2024-09-01,-19.431005,SKU_121
2024-09-08,-19.523825,SKU_121
2024-06-23,29.0258,SKU_122
2024-06-30,29.212147,SKU_122
2024-07-07,29.39847,SKU_122
2024-07-14,29.56879,SKU_122
2024-07-21,29.755108,SKU_122
2024-07-28,29.941414,SKU_122
2024-08-04,30.111752,SKU_122
2024-08-11,30.28207,SKU_122
2024-08-18,30.4684,SKU_122
2024-08-25,30.654701,SKU_122
2024-09-01,30.825043,SKU_122
2024-09-08,30.995354,SKU_122
2024-06-23,-69.444244,SKU_123
2024-06-30,-69.31179,SKU_123
2024-07-07,-69.17929,SKU_123
2024-07-14,-69.0487,SKU_123
2024-07-21,-68.916214,SKU_123
2024-07-28,-68.78366,SKU_123
2024-08-04,-68.653114,SKU_123
2024-08-11,-68.52252,SKU_123
2024-08-18,-68.39003,SKU_123
2024-08-25,-68.25748,SKU_123
2024-09-01,-68.12693,SKU_123
2024-09-08,-67.99634,SKU_123
2024-06-23,9.059854,SKU_124
2024-06-30,9.499574,SKU_124
2024-07-07,9.939301,SKU_124
2024-07-14,10.480985,SKU_124
2024-07-21,10.920709,SKU_124
2024-07-28,11.360442,SKU_124
2024-08-04,11.902119,SKU_124
2024-08-11,12.4438095,SKU_124
2024-08-18,12.88353,SKU_124
2024-08-25,13.323264,SKU_124
2024-09-01,13.864938,SKU_124
2024-09-08,14.406625,SKU_124
2024-06-23,22.162867,SKU_125
2024-06-30,22.119408,SKU_125
2024-07-07,22.07597,SKU_125
2024-07-14,21.974499,SKU_125
2024-07-21,21.931059,SKU_125
2024-07-28,21.887638,SKU_125
2024-08-04,21.786146,SKU_125
2024-08-11,21.684677,SKU_125
2024-08-18,21.64124,SKU_125
